H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
pallidus	depressus	nudus	301569	56808	0.6829707	0.6829707	0.002215182	308.3135	
intermedius	depressus	nudus	304678	58445	0.6780981	0.6780981	0.002177303	311.4394	
purpuratus_SRR7211988	depressus	nudus	477250	41723	0.8392094	0.8392094	0.001408094	595.9896	
purpuratus_SRR6281818	depressus	nudus	408170	48073	0.7892658	0.7892658	0.001944394	405.9186	
pulcherrimus_SRR5767283	depressus	nudus	263222	59266	0.6324452	0.6324452	0.002284224	276.8753	
pulcherrimus_DRR107784	depressus	nudus	254489	58659	0.6253593	0.6253593	0.002354253	265.6296	
droebachiensis	franciscanus	nudus	395604	46939	0.7878669	0.7878669	0.001796252	438.6172	
fragilis	franciscanus	nudus	404939	48215	0.7872026	0.7872026	0.001768925	445.0176	
pallidus	franciscanus	nudus	390446	45990	0.7892474	0.7892474	0.00175438	449.8725	
intermedius	franciscanus	nudus	394895	48354	0.7818202	0.7818202	0.001803219	433.5692	
purpuratus_SRR7211988	franciscanus	nudus	640923	30299	0.9097199	0.9097199	0.0009341204	973.8787	
purpuratus_SRR6281818	franciscanus	nudus	541755	37515	0.8704749	0.8704749	0.001484266	586.4683	
pulcherrimus_SRR5767283	franciscanus	nudus	338638	48959	0.7473716	0.7473716	0.001956262	382.0407	
pulcherrimus_DRR107784	franciscanus	nudus	325703	48532	0.7406336	0.7406336	0.002064942	358.6705	
depressus	franciscanus	nudus	111757	64408	0.2687764	0.2687764	0.003177808	84.57918	
